n,k,cost,running_time
10,10,51.0,0.7209396362304688
11,11,79.0,0.9480235576629639
12,12,54.0,1.481398344039917
13,13,103.0,2.3539626598358154
14,14,50.0,3.106335163116455
15,15,106.0,9.481224775314331
16,16,113.0,8.114003658294678
17,17,105.0,120.31637191772461
18,18,118.0,120.38575291633606
19,19,106.0,14.560490846633911
20,20,171.0,15.437232971191406
21,21,108.0,12.512457609176636
22,22,156.0,120.71284770965576
23,23,116.0,120.77164793014526
24,24,158.0,120.89218616485596
25,25,217.0,121.03028559684753
26,26,158.0,121.08012104034424
27,27,158.0,121.21909785270691
28,28,158.0,121.48262667655945
29,29,178.0,121.52719402313232
30,30,182.0,121.68057370185852
